"ZONA PORTUARIA               ","SOCIEDAD PORTUARIA","TIPO DE SERVICIO","TIPO DE CARGA","EXPORTACION","IMPORTACIÓN","TRANSBORDO","TRANSITO INTERNACIONAL","FLUVIAL","CABOTAJE","MOVILIZACIONES A BORDO","TRANSITORIA","AÑO VIGENCIA","MES VIGENCIA"
"BARRANQUILLA","SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","146,012","0","0","0","1,037","0","0","2,018","6"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GENERAL","0","12,602","0","0","0","0","0","0","2,018","10"
"BARRANQUILLA","PORTMAGDALENA S.A.","PUBLICO","GRANEL LIQUIDO","28,239","53,650","0","0","16,511","0","0","0","2,022","4"
"BARRANQUILLA","BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.","PUBLICO","GRANEL SOLIDO DIFER. DE CARBON","0","88,069","0","0","0","0","0","0","2,023","2"
"G. MORROSQUILLO","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","CARBON AL GRANEL","48,259","0","0","0","0","0","0","0","2,025","7"
"BARRANQUILLA","COMPA�IA DE PUERTOS ASOCIADOS S.A.","PUBLICO","GENERAL","0","42,309","0","0","0","0","0","0","2,019","5"
"SANTA MARTA","SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA","PUBLICO","GENERAL","2,737","10,617","2,846","0","0","0","0","0","2,019","12"
"TUMACO","ROMERO Y BURGOS & CIA S.EN C.","PUBLICO","GRANEL LIQUIDO","0","0","0","0","119","0","0","0","2,018","6"
"CARTAGENA","SOCIEDAD PORTUARIA DEL DIQUE S.A.","PUBLICO","GRANEL LIQUIDO","0","8,512","0","0","0","29,131","0","0","2,018","7"
"GUAJIRA","PUERTO BRISA S.A.","PUBLICO","CARBON AL GRANEL","30,627","0","0","0","0","0","0","0","2,019","3"
